date,no2,o3,co,so2,pm10,pm25,코막힘,인후염,기관지염,알레르기비염,호흡기질환,감기약,비염약,기침약,콧물약,알레르기약
2023-02-18,0.020583066875907666,0.0065816326530612245,0.44612303180735563,0.0034666666666666665,31.262628533251103,16.68375760685416,16.34534,39.94132,30.0922,19.86588,2.80804,13.70434,12.76521,9.53043,6.53913,7.75652
2023-02-19,0.019483673469387754,0.0320265306122449,0.48104166666666665,0.0029875,47.46938775510204,32.91836734693877,15.88432,34.57669,26.73931,20.45264,2.6404,12.13913,12.24347,9.66956,5.70434,7.65217
2023-02-20,0.016526530612244898,0.029612244897959186,0.36437499999999995,0.002827083333333333,38.59183673469388,9.10204081632653,18.65046,57.25062,41.91114,27.57753,5.40653,20.24347,17.00869,9.63478,8.20869,9.11304
2023-02-21,0.02355714285714286,0.023457142857142857,0.41041666666666665,0.0030812500000000002,31.346938775510203,15.040816326530612,19.15339,52.05364,36.58843,24.76948,5.2808,18.88695,16.97391,8.8,8.76521,8.8
2023-02-22,0.039481999999999996,0.016426,0.5787755102040816,0.0036612244897959185,42.68,26.14,20.57837,51.1316,35.49874,25.1886,4.77787,18.33043,17.04347,10.12173,8.76521,8.34782
2023-02-23,0.030251999999999998,0.024676,0.49333333333333335,0.003287755102040816,41.36,24.2,19.99161,50.54484,37.38474,26.61357,4.65213,17.32173,16.45217,10.85217,9.56521,7.30434
2023-02-24,0.023757999999999998,0.027957999999999997,0.4830612244897959,0.003048979591836735,51.1,29.32,18.73428,47.82062,35.07963,26.65549,4.61022,15.16521,13.63478,10.05217,7.96521,7.82608
2023-02-25,0.016076,0.030308,0.4139583333333334,0.003240816326530612,37.66,17.76,13.99832,41.70159,31.51718,24.05699,3.31098,14.71304,14.50434,9.84347,7.37391,8.03478
2023-02-26,0.023076,0.027268,0.50125,0.0034061224489795915,36.56,20.74,16.76445,36.29505,27.36797,22.38055,3.68818,13.9826,12.34782,8.66086,5.94782,7.82608
2023-02-27,0.020298858046323635,0.0163,0.6516666666666667,0.003748979591836735,48.6,30.74,19.74015,60.26823,41.82732,29.79882,5.02933,17.84347,17.42608,10.43478,8.90434,8.03478
2023-02-28,0.03787,0.021198,0.6,0.003442,37.16,24.28,18.77619,53.05951,33.90611,27.0746,5.11316,17.42608,17.94782,11.23478,7.23478,9.66956
2023-03-01,0.019927999999999998,0.031888,0.404468085106383,0.002889795918367347,35.5,18.26,17.05783,35.95976,29.58927,26.94886,4.31684,14.43478,15.72173,8.5913,7.23478,8.55652
2023-03-02,0.01611,0.031162000000000002,0.34437500000000004,0.0029059999999999997,52.28,10.62,18.90192,51.92791,35.12154,44.63537,7.75356,18.1913,18.95652,9.70434,8.5913,9.6
2023-03-03,0.028626,0.023458,0.4610416666666666,0.003074,40.02,16.16,16.47108,51.34115,39.43839,33.8642,6.28667,16.52173,16.34782,9.21739,8.0,9.3913
2023-03-04,0.033406,0.025438000000000002,0.595625,0.003322,30.244910099077355,16.327102082725187,17.85414,46.35373,30.17602,28.29002,3.3948,15.86086,16.90434,8.90434,7.93043,9.70434
2023-03-05,0.035651999999999996,0.030174,0.6585416666666667,0.0033439999999999998,30.244910099077355,16.68375760685416,17.05783,39.4803,29.08633,33.44509,4.27493,14.01739,16.34782,9.63478,6.88695,12.34782
